uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"3cea1332-88d8-472a-be4e-180c37e1052f","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-18","CUPE.20220126.SURBER.8","A00000194950",,"NEOSP37","Y","Neomamersa sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes",,,,"Limnesiidae",,,,"Neomamersa","sp.",,"adult",1,,1,47,2,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"cd6924f5-bf66-4dce-8b86-392c8a82fd14","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-19","CUPE.20220126.SURBER.3","A00000194943",,"CARSP14","Y","Cariboptila sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Glossosomatoidea","Glossosomatidae","Protoptilinae",,,"Cariboptila","sp.",,"larva",2,,5,100,5,"N","N",,"condition OK","Y",,"Flint, 1964","Y","Rhithron Associates, Inc.","J. Webb",,,
"6728183f-8591-4271-8f32-150f42239414","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-19","CUPE.20220126.SURBER.4","A00000194942",,"NEOSP44","Y","Neohagenulus sp.",,"genus","Arthropoda","Hexapoda","Insecta",,,,"Ephemeroptera",,,"Leptophlebioidea","Leptophlebiidae",,,,"Neohagenulus","sp.",,"larva",4,,14,67,21,"N","N",,"condition OK","Y",,"Peters, 1971","N","Rhithron Associates, Inc.","J. Webb",,,
"b62ad05d-3a55-48ee-983f-79c3e9070ab1","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-19","CUPE.20220126.SURBER.6","A00000194944",,"HEXSP4","Y","Hexacylloepus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Hexacylloepus","sp.",,"larva",4,,2,100,2,"N","N",,"condition OK","N",,"Brown, 1972; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"3eb8ee1a-1612-4b84-bb4b-e868f01c2d51","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-16","CUPE.20220126.SURBER.6","A00000194944",,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",1,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"751f7bf7-555b-467c-b799-709b8099b1b9","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-18","CUPE.20220126.SURBER.8","A00000194950",,"ATOSP","Y","Atopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Hydrobiosidae","Hydrobiosinae","Hydrobiosini",,"Atopsyche","sp.",,"larva",5,,1,47,2,"N","N",,"condition OK","Y",,"Flint, 1964","N","Rhithron Associates, Inc.","J. Webb",,,
"595451fa-c926-4d79-aefb-c3a856708cb4","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-19","CUPE.20220126.SURBER.5","A00000194941",,"HELSP7","Y","Helicopsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Sericostomatoidea","Helicopsychidae",,,,"Helicopsyche","sp.",,"larva",1,,5,30,17,"N","N",,"condition OK","Y",,"Flint 1964; Flint 1992; Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"ddfa4370-57a9-4cb4-b59f-155fdb86f00a","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-18","CUPE.20220126.SURBER.8","A00000194950",,"PETSP4","Y","Petrophila sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Lepidoptera",,,"Pyraloidea","Crambidae","Nymphulinae","Argyractini",,"Petrophila","sp.",,"larva",2,,2,47,4,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"3f43cfed-03eb-4ecf-b3e4-5e5061fe76f6","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-16","CUPE.20220126.SURBER.8","A00000194950",,"CRISP2","Y","Cricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Cricotopus","sp.",,"larva",2,,3,47,6,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"56949895-ef6d-4ce0-8c7e-0070a04c293c","D04","CUPE","CUPE.AOS.reach","2022-01-26T12:23Z","2022-08-16","CUPE.20220126.SURBER.7","A00000194951",,"ABLSP","Y","Ablabesmyia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Ablabesmyia","sp.",,"larva",3,,3,80,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
