"month","year","site_code","pCH4_uatm","CH4_uM","pCO2_uatm","CO2_uM","pN2O_uatm","N2O_uM"
6,2016,"ARIK",1869.815,3.0245,5245.5,199.8,0.5755,0.016
7,2016,"ARIK",1827.18,2.9155,7070.5,265,0.534,0.0145
8,2016,"ARIK",6533.665,10.814,11790,458.9,0.3375,0.0095
9,2016,"ARIK",8759.94,15.347,12030,506.5,0.546,0.017
10,2016,"ARIK",10358.3,22.305,9277,505.5,0.637,0.026
11,2016,"ARIK",2418.79,5.383,4734,269.4,0.001,0
12,2016,"ARIK",427.23,1.208,1340,103.2,0.001,0
1,2017,"ARIK",483.99,1.4195,2102,169.25,0.3095,0.02
2,2017,"ARIK",451.63,1.211,1819,131.1,0.6015,0.034
3,2017,"ARIK",815.013333333333,2.05466666666667,3186.33333333333,211.233333333333,3.16633333333333,0.171333333333333
4,2017,"ARIK",2375.5025,5.21125,3767.5,211.825,0.355,0.015
5,2017,"ARIK",2492.54,4.77533333333333,4589.66666666667,212.7,0.714,0.024
6,2017,"ARIK",1515.12,2.625,5649,234.9,1.091,0.033
7,2017,"ARIK",7738.26,14.262,11987,538.4,0.766,0.026
8,2017,"ARIK",5156.575,9.5275,11365.5,513.15,0.37,0.012
9,2017,"ARIK",26159.04,51.634,9474,465,0.286,0.011
10,2017,"ARIK",7102.68,16.4,6306.5,374.9,0.3005,0.014
11,2017,"ARIK",960.275,2.514,1923.5,135.15,0.449,0.0245
12,2017,"ARIK",511.165,1.4335,1245,94.05,0.2825,0.017
1,2018,"ARIK",390.015,1.132,2475,197.45,0.3615,0.023
2,2018,"ARIK",323.996666666667,0.920333333333333,1539.66666666667,119.033333333333,0.567,0.0346666666666667
3,2018,"ARIK",536.17,1.352,1833.33333333333,122.9,0.483666666666667,0.0263333333333333
4,2018,"ARIK",868.975,1.9405,2630.5,150.5,1.0515,0.046
5,2018,"ARIK",1048.8175,2.0405,4962.5,232.3,1.46125,0.0485
6,2018,"ARIK",2847.015,5.4685,13125.5,621.45,0.1315,0.0045
7,2018,"ARIK",5022.54333333333,8.73533333333333,12188.6666666667,502.666666666667,0.474333333333333,0.0136666666666667
8,2018,"ARIK",8001.775,15.683,7905.5,383.75,0.2095,0.0075
9,2018,"ARIK",6895.65,12.253,9325,400.1,0.283,0.009
10,2018,"ARIK",7696.71,14.752,10065,474.5,0.488,0.017
11,2018,"ARIK",753.98,1.846,2544,163.3,0.176,0.009
12,2018,"ARIK",248.045,0.6925,1255,95.1,0.1735,0.0105
1,2019,"ARIK",287.22,0.8325,1595,126.85,0.155,0.0095
2,2019,"ARIK",288.44,0.825333333333333,1106.33333333333,86.4,0.255666666666667,0.016
3,2019,"ARIK",557.25,1.32733333333333,3146.66666666667,200.166666666667,0.445666666666667,0.0213333333333333
4,2019,"ARIK",1456.16333333333,3.08733333333333,3735.33333333333,199.333333333333,0.613666666666667,0.0253333333333333
5,2019,"ARIK",1208.86666666667,2.45133333333333,4547.33333333333,223.766666666667,0.891666666666667,0.0326666666666667
6,2019,"ARIK",2357.22333333333,4.40233333333333,6097.66666666667,277.7,0.560666666666667,0.019
7,2019,"ARIK",10223.395,18.598,14902.5,659.95,0.6895,0.023
