uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"45038e83-c9bc-49dd-b55e-9fece659f56f","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"CHLSP","Y","Chloroperlidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae",,,,,"sp.",,"larva",3,,3,100,3,"Y","N","early instar","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","2 genera",,
"8fa80dbf-f10a-409d-bf9d-10359e949daa","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.1","A00000153342",,"NEOREI","Y","Neostempellina reissi",,"species","Arthropoda",,"Insecta",,,,"Diptera",,,,"Chironomidae",,,,"Neostempellina","reissi",,"larva",2,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"85c888de-61dd-4334-93b1-b063aa62fe24","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"BAESP","Y","Baetidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,,"sp.",,"larva",1,,2,53,4,"Y","N","early instar","condition OK","N",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"d9164d94-1d16-44ba-ba1f-3a5f56715111","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.4","A00000153344",,"EPEPLE1","Y","Epeorus pleuralis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Heptageniidae",,,,"Epeorus","pleuralis gr.",,"larva",5,,9,100,9,"Y","N","early instar","condition OK","Y",,"Webb and McCafferty 2006","N","Rhithron Associates, Inc.","J. Webb",,,
"5c473b2b-b309-466a-99dd-1f324bfaed49","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"NILSP","Y","Nilotanypus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Nilotanypus","sp.",,"larva",1,,2,53,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"96d80276-9973-4157-843a-b1a8fbb06dd9","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"TURSP","Y","Turbellaria sp.",,"class","Platyhelminthes",,"Turbellaria",,,,,,,,,,,,,"sp.",,"unknown",1,,1,100,1,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"6461500b-ba2c-4f72-bbbe-5178009a871d","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"RHESP4","Y","Rheosmittia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheosmittia","sp.",,"larva",2,,36,100,36,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"bfaba4a2-f02b-4bbb-9fdb-1847d1cc8f2b","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"RHESP4","Y","Rheosmittia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheosmittia","sp.",,"larva",1,,6,100,6,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"0f12a355-5f60-4673-83ef-a0d0ddbb6df2","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",3,,1,93,1,"Y","N","early instar","condition OK","Y",,"Merritt et al. 2019; Burian et al. 2008","Y","Rhithron Associates, Inc.","J. Webb",,,
"0123fef7-84d1-411c-8a4a-e4811513ff93","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",4,,2,100,2,"Y","N","early instar","condition OK","Y",,"Merritt et al. 2019; Burian et al. 2008","N","Rhithron Associates, Inc.","J. Webb",,,
"28d50fba-e53e-4c99-accb-1d71de641fa7","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",1,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"c292ae39-43b7-408c-a1cc-2bd468f032de","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"EPEPLE1","Y","Epeorus pleuralis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Heptageniidae",,,,"Epeorus","pleuralis gr.",,"larva",4,,2,100,2,"Y","N","early instar","condition OK","Y",,"Webb and McCafferty 2006","N","Rhithron Associates, Inc.","J. Webb",,,
"72e4884f-8658-4427-8520-1ebf522fb5bd","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",3,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"cebb1917-191a-4a59-8f28-970fe1840c43","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"OULSP","Y","Oulimnius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Oulimnius","sp.",,"larva",1,,9,100,9,"N","N",,"condition OK","Y",,"Epler 2010; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"74809e6c-b737-4693-8265-e2448cecc2b8","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"CORSP19","Y","Corynoneura sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Corynoneura","sp.",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"21b92ffb-af2b-4567-b314-8fe8309bcc87","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",1,,8,100,8,"Y","N","early instar","condition OK","Y",,"Merritt et al. 2019; Burian et al. 2008","N","Rhithron Associates, Inc.","J. Webb",,,
"2071536a-5f34-44f8-9839-bb620aacf09c","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.4","A00000153344",,"TANSP11","Y","Tanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Tanytarsus","sp.",,"larva",2,,12,100,12,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"01976c8f-74f5-462f-bf8a-8288e5e9207a","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"EPHSP4","Y","Ephemerella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Ephemerella","sp.",,"larva",2,,16,100,16,"Y","N","early instar","condition OK","Y",,"Allen and Edmunds 1965; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","unique",,
"1f63a622-38b3-4f5f-ae30-a24e1fb8858f","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"RHEPEL1","Y","Rheotanytarsus pellucidus",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Rheotanytarsus","pellucidus",,"larva",2,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"2c0bf471-6ec9-452e-b1d5-98496c623786","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"larva",2,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"a74b3950-9ea5-4e10-947c-b8b164a329d0","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"RHYMIN","Y","Rhyacophila minora",,"species","Arthropoda",,"Insecta","Pterygota","Neoptera",,"Trichoptera","Integripalpia",,"Rhyacophiloidea","Rhyacophilidae",,,,"Rhyacophila","minora",,"larva",10,,2,93,2,"N","N",,"condition OK","Y",,"Prather and Morris 2001; Morse et al. 2017; Giersch et al. 2012","Y","Rhithron Associates, Inc.","J. Webb",,,
"9234ce7e-0886-48b9-aedd-9d107f81fff4","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",1,,4,100,4,"Y","N","early instar","condition OK","Y",,"Merritt et al. 2019; Burian et al. 2008","N","Rhithron Associates, Inc.","J. Webb",,,
"da324058-7a27-4e7c-86fb-5cac4a9f3b4c","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"DIPHAG","Y","Diphetor hageni",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Diphetor","hageni",,"larva",2,,1,53,2,"N","N",,"condition OK","Y",,"Morihara and McCafferty 1987; Meyer and McCafferty 2001; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"703c3d44-9b1b-47df-80a7-af606f862534","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"BAETRI2","Y","Baetis tricaudatus cx.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Baetidae",,,,"Baetis","tricaudatus cx.",,"larva",3,,2,53,4,"N","N",,"condition OK","Y",,"Morihara and McCafferty 1979; Wiersema, 2004; Webb et al. 2018","N","Rhithron Associates, Inc.","J. Webb",,,
"f923bf0c-8e30-4b3e-aba1-1d5f15b246ff","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.1","A00000153347",,"MICSP6","Y","Micropsectra sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Micropsectra","sp.",,"larva",5,,1,53,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"3fec3868-2c81-41d4-80a7-a074becca749","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"PARSP25","Y","Parakiefferiella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parakiefferiella","sp.",,"larva",3,,1,93,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,,
"e9b06f3e-5c1e-4535-89f2-6ccef23ecd17","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.3","A00000153345",,"OULSP","Y","Oulimnius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Oulimnius","sp.",,"larva",2,,7,100,7,"N","N",,"condition OK","Y",,"Epler 2010; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"60f3acd8-0a3b-442f-852f-dfe40f06a3c4","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.1","A00000153342",,"PARSP31","Y","Paracladopelma sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Paracladopelma","sp.",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"86b76da3-228a-4e19-add3-8b624cff0f89","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.CORE.3","A00000153340",,"NEOREI","Y","Neostempellina reissi",,"species","Arthropoda",,"Insecta",,,,"Diptera",,,,"Chironomidae",,,,"Neostempellina","reissi",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"cc8cb36d-82ef-487e-b8eb-b745c2487222","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-26","HOPB.20220411.SURBER.2","A00000153346",,"EPHSUB","Y","Ephemerella subvaria",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Ephemerella","subvaria",,"larva",6,,1,100,1,"N","N",,"condition OK","Y",,"Allen and Edmunds 1965","N","Rhithron Associates, Inc.","J. Webb",,,
"0459d3a0-83f6-4e46-8170-803753da4d55","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-23","HOPB.20220411.SURBER.5","A00000153343",,"RHESP4","Y","Rheosmittia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheosmittia","sp.",,"larva",1,,7,93,8,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,,
"797b27c1-4d5d-48db-a68a-df0cd754d468","D01","HOPB","HOPB.AOS.reach","2022-04-11T13:18Z","2022-09-27","HOPB.20220411.SURBER.5","A00000153343",,"HETSP11","Y","Heterocloeon sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Heterocloeon","sp.",,"larva",2,,2,93,2,"N","N",,"condition OK","Y",,"Merritt et al. 2019; McCafferty, Waltz, Webb, and Jacobus, 2005","Y","Rhithron Associates, Inc.","J. Webb","amplum",,
