uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"da14d752-fbcf-413d-891c-9daafb3917ac","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.SURBER.1","A00000109132",,"PARSP29","Y","Parorthocladius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parorthocladius","sp.",,"larva",1,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"82287040-b767-4e96-8ffd-368c9627af0f","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.SURBER.2","A00000109131",,"EPESP","Y","Epeorus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Epeorus","sp.",,"larva",2,,6,100,6,"Y","N","early instar","condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb","deceptivus?",,
"c1a0055a-741b-4ef5-ad2a-740ae9cffccc","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.SURBER.5","A00000109128",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",3,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"b898e386-a233-47e5-9897-96b4d64c2901","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.SURBER.5","A00000109128",,"CINSP1","Y","Cinygmula sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Cinygmula","sp.",,"larva",5,,2,100,2,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","R. Spring",,,
"1914e095-957e-4844-8682-87273af0aa4c","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.7","A00000109126",,"RHESP1","Y","Rheocricotopus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Rheocricotopus","sp.",,"larva",4,,1,57,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"e3330b0d-e55d-42cc-bf15-1dbc3e94a10d","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.SURBER.5","A00000109128",,"STESP10","Y","Stempellinella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Stempellinella","sp.",,"larva",2,,3,100,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"1b245416-1fa6-4a48-b40c-2e97e740fc56","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.SURBER.1","A00000109132",,"DIPHAG","Y","Diphetor hageni",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Diphetor","hageni",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Morihara and McCafferty 1987; Meyer and McCafferty 2001; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"3a9d5dcd-f6cd-4c67-b325-1da1d917db7c","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.HESS.8","A00000109125",,"CINSP1","Y","Cinygmula sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Cinygmula","sp.",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"bbfeb81f-c5b5-4417-90fb-f76552e6d9a5","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.SURBER.2","A00000109131",,"TORSP6","Y","Torrenticola sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Lebertioidea","Torrenticolidae",,,,"Torrenticola","sp.",,"adult",1,,2,100,2,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"0f751bc6-db44-4204-8cf0-3e1cf37778bc","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.6","A00000109127",,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"732da49f-c58e-4800-a44b-a38d0a9f11d9","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.SURBER.2","A00000109131",,"POTSP2","Y","Potthastia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Diamesinae","Diamesini",,"Potthastia","sp.",,"larva",2,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"f450177b-fcf7-4f78-b4a9-8f26e65962f0","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.6","A00000109127",,"RHYNAR","Y","Rhyacophila narvae",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Rhyacophilidae",,,,"Rhyacophila","narvae",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Prather and Morris 2001; Morse et al. 2017; Giersch et al. 2012","N","Rhithron Associates, Inc.","J. Webb",,,
"5d2275f2-b8f6-44b6-aecb-2faf5052e139","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.HESS.7","A00000109126",,"ATUSP1","Y","Aturus sp.",,"genus","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Trombidiformes","Prostigmata",,"Hygrobatoidea","Aturidae",,,,"Aturus","sp.",,"adult",1,,1,57,2,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"dfa29ce7-a56e-4950-bb59-ce66145cc239","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-21","MART.20220418.SURBER.3","A00000109130",,"AMESP2","Y","Ameletus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Ameletidae",,,,"Ameletus","sp.",,"larva",1,,1,100,1,"N","N",,"condition OK","Y",,"Merritt et al. 2019","Y","Rhithron Associates, Inc.","R. Spring",,,
"e449ba4b-711d-4f90-a90c-46bbf14c2eb1","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.7","A00000109126",,"MICSP5","Y","Microtendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Microtendipes","sp.",,"larva",2,,1,57,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"62ed07cd-59ad-401b-9e01-d6fcb16dd3af","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.7","A00000109126",,"MICSP5","Y","Microtendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Microtendipes","sp.",,"larva",4,,1,57,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"a76641d6-f927-42a8-879c-5b076f5f7257","D16","MART","MART.AOS.reach","2022-04-18T16:36Z","2022-10-20","MART.20220418.HESS.6","A00000109127",,"RHESP2","Y","Rheotanytarsus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Tanytarsini",,"Rheotanytarsus","sp.",,"larva",2,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
