uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"4ae7af12-c40f-44f6-8ce0-d8c565ddc650","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.6","A00000109119",,"CHLSP","Y","Chloroperlidae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae",,,,,"sp.",,"larva",2,,2,100,2,"Y","N","early instar","condition OK","N",,"Stewart and Stark 2002; Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,,
"56ffa0a2-771e-4c22-a4db-fc44311ab6d4","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.7","A00000109120",,"MALSP4","Y","Malenka sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae","Amphinemurinae",,,"Malenka","sp.",,"larva",3,,11,100,11,"N","N",,"condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"930fc10b-5acb-4a9a-839b-fba1c8a5492a","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.7","A00000109120",,"PARSP18","Y","Parapsyche sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Hydropsychoidea","Hydropsychidae","Arctopsychinae",,,"Parapsyche","sp.",,"larva",5,,1,100,1,"Y","N","early instar","condition OK","Y",,"Wiggins 1996","N","Rhithron Associates, Inc.","J. Webb",,,
"e3a51a06-ee36-465b-a272-73c950c4f8d9","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.5","A00000109118",,"SWESP","Y","Sweltsa sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Systellognatha",,,"Chloroperlidae","Chloroperlinae",,,"Sweltsa","sp.",,"larva",5,,1,100,1,"N","N",,"condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"c5918f22-de22-4d19-a0b2-74e9bf6a4794","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.2","A00000109115",,"THISP2","Y","Thienemanniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Thienemanniella","sp.",,"larva",2,,1,43,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"4c5c2501-4daa-401c-86c5-f815eeb1258f","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.5","A00000109118",,"MICSP3","Y","Micrasema sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Limnephiloidea","Brachycentridae",,,,"Micrasema","sp.",,"larva",2,,3,100,3,"N","N",,"condition OK","Y",,"Wiggins 1996; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"a986392c-74ea-4bfe-91fd-e6128ee88463","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.6","A00000109119",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",3,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","A. Fasbender",,,
"f12b0582-7773-4978-ae4c-a13a6642ddbe","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.2","A00000109115",,"BAETRI2","Y","Baetis tricaudatus cx.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera",,,,"Baetidae",,,,"Baetis","tricaudatus cx.",,"larva",2,,5,43,12,"N","N",,"condition OK","Y",,"Morihara and McCafferty 1979; Wiersema, 2004; Webb et al. 2018","N","Rhithron Associates, Inc.","B. Moore",,,
"2faac2d7-2894-46a5-97f3-a6f76026f1fa","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.7","A00000109120",,"EUKCLA","Y","Eukiefferiella claripennis gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Eukiefferiella","claripennis gr.",,"larva",1,,1,100,1,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Bode, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"f086296c-f84b-4c5d-b3c1-7b46309403b7","D16","MCRA","MCRA.AOS.reach","2022-05-23T20:02Z","2022-11-14","MCRA.20220523.SURBER.6","A00000109119",,"CERSP10","Y","Ceratopogoninae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Ceratopogonidae","Ceratopogoninae",,,,"sp.",,"larva",3,,3,100,3,"N","N",,"condition OK","Y",,"Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,,
