uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"3f615003-a08a-4dff-8fe3-49d8c5330420","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-26","POSE.20220321.SURBER.4","A00000167016",,"PARSP33","Y","Paratendipes sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Chironominae","Chironomini",,"Paratendipes","sp.",,"larva",1,,1,27,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"df7215fe-d26d-4f4f-b7c9-4b888f5625a2","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-28","POSE.20220321.HESS.1","A00000167018",,"EURFUN","Y","Eurylophella funeralis",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Furcatergalia","Pannota","Ephemerelloidea","Ephemerellidae",,,,"Eurylophella","funeralis",,"larva",4,,9,100,9,"N","N",,"condition OK","Y",,"Funk and Sweeney 1994","N","Rhithron Associates, Inc.","B. Moore",,,
"f65616a9-91b4-4f96-831c-73be30453b98","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-26","POSE.20220321.SURBER.5","A00000167020",,"THIGRO","Y","Thienemannimyia gr.",,"speciesGroup","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae","Pentaneurini",,"Thienemannimyia","gr.",,"larva",2,,1,13,8,"Y","N","early instar","condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2008; Andersen, Cranston and Epler 2017","N","Rhithron Associates, Inc.","R. Spring",,,
"20a45aac-70ba-4e54-9dc0-894c608e190e","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-27","POSE.20220321.SURBER.4","A00000167016",,"OULSP","Y","Oulimnius sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","Elminae","Elmini",,"Oulimnius","sp.",,"larva",2,,3,27,11,"N","N",,"condition OK","Y",,"Epler 2010; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"dcb1acb0-8dcd-4664-8d06-d024a33454d5","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-28","POSE.20220321.SURBER.1","A00000167017",,"TRISP","Y","Trichoptera sp.",,"order","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,,,,,,,"sp.",,"pupa",4,,1,17,6,"N","N","damaged","damaged, affecting taxonomy and measurement","N",,"Merritt et al. 2019; Wiggins 1996","N","Rhithron Associates, Inc.","J. Webb",,,
"1cf0fcda-997e-45db-a9a2-fd03f0202904","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-28","POSE.20220321.SURBER.2","A00000167022",,"MACMOD","Y","Maccaffertium modestum",,"species","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,"Heptagenioidea","Heptageniidae",,,,"Maccaffertium","modestum",,"larva",8,,1,13,8,"N","N",,"condition OK","Y",,"Bednarik and McCafferty 1979","N","Rhithron Associates, Inc.","J. Webb",,,
"8c883cc4-ef90-40a1-8867-97a5f3fb4801","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-26","POSE.20220321.SURBER.3","A00000167021",,"PARSP26","Y","Parametriocnemus sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Parametriocnemus","sp.",,"larva",6,,1,17,6,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
"fd51512e-6454-4c30-b41c-4bf951c27b54","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-27","POSE.20220321.HESS.2","A00000167015",,"HELSP10","Y","Heleniella sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Heleniella","sp.",,"larva",5,,1,23,4,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",,,
"dc3bdc69-dc9f-4021-b3cc-f571111bbf48","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-28","POSE.20220321.SURBER.2","A00000167022",,"LEUSP2","Y","Leuctridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Leuctridae",,,,,"sp.",,"larva",1,,2,13,15,"Y","N","early instar","condition OK","Y",,"Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"e341ad6b-ddc1-4347-9def-a55ea66a6879","D02","POSE","POSE.AOS.reach","2022-03-21T13:38Z","2022-09-26","POSE.20220321.SURBER.2","A00000167022",,"TANSP7","Y","Tanypodinae sp.",,"subfamily","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Tanypodinae",,,,"sp.",,"larva",1,,1,13,8,"Y","N","early instar","condition OK","N",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","R. Spring",,,
