uid,domainID,siteID,namedLocation,collectDate,identifiedDate,sampleID,sampleCode,slideID,acceptedTaxonID,targetTaxaPresent,scientificName,morphospeciesID,taxonRank,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,specificEpithet,infraspecificEpithet,invertebrateLifeStage,sizeClass,sizeCategory,individualCount,subsamplePercent,estimatedTotalCount,immatureSpecimen,indeterminateSpecies,taxonRankQualifier,sampleCondition,distinctTaxon,identificationQualifier,identificationReferences,qcChecked,laboratoryName,identifiedBy,identificationRemarks,identificationHistoryID,dataQF
"1ce82449-70d4-4e24-9f23-c290ba90224f","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.SURBER.2","A00000253006",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"larva",2,,2,100,2,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","N","Rhithron Associates, Inc.","A. Fasbender",,,
"ea89421e-5b96-49a5-83d2-419b01e6b0e7","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-13","WLOU.20220630.CORE.3","A00000253012","BA22NEOMST37022O1","LUMSP2","Y","Lumbriculidae sp.",,"family","Annelida","Clitellata","Oligochaeta","Oligochaeta",,,"Lumbriculida",,,,"Lumbriculidae",,,,,"sp.",,"immature",4,,1,100,1,"Y","N",,"condition OK","Y",,"Kathman and Brinkhurst, 1999","N","Rhithron Associates, Inc.","A. Fasbender","w/o proboscis",,
"4bee94b3-a057-4643-a217-1c16d3d24f30","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.SURBER.1","A00000253005",,"BAESP2","Y","Baetis sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Palaeoptera",,"Ephemeroptera","Pisciforma",,,"Baetidae",,,,"Baetis","sp.",,"larva",3,,8,40,20,"N","N","damaged","damaged, affecting taxonomy and measurement","N",,"Merritt et al. 2019","Y","Rhithron Associates, Inc.","J. Webb",,,
"d4ce2034-1627-42db-bce4-945cb73d3fc9","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.CORE.2","A00000253011",,"ELOSP2","Y","Eloeophila sp.",,"genus","Arthropoda",,"Insecta",,,,"Diptera",,,,"Limoniidae",,,,"Eloeophila","sp.",,"larva",6,,1,100,1,"N","N",,"condition OK","Y",,"Merritt et al. 2019","N","Rhithron Associates, Inc.","J. Webb",,,
"da40b5a1-95b6-4830-a9d5-43822d903c75","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-13","WLOU.20220630.SURBER.4","A00000253008",,"NEMSP5","Y","Nemouridae sp.",,"family","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Plecoptera","Euholognatha",,,"Nemouridae",,,,,"sp.",,"larva",1,,3,100,3,"Y","N","early instar","condition OK","N",,"Baumann et al. 1977; Stewart and Stark 2002; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"a8ee7cf3-d992-49e5-90b4-8336cf224097","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-13","WLOU.20220630.SURBER.4","A00000253008",,"HELSP20","Y","Helodon sp.",,"genus","Arthropoda","Hexapoda","Insecta",,,,"Diptera","Nematocera",,,"Simuliidae",,,,"Helodon","sp.",,"larva",2,,4,100,4,"N","N",,"condition OK","Y",,"Adler et al. 2004; Merritt et al. 2019","N","Rhithron Associates, Inc.","B. Moore",,,
"f214c075-292c-42cc-a46f-3c1d458643ed","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.CORE.1","A00000253010",,"ORISP1","Y","Oribatida sp.",,"suborder","Arthropoda","Chelicerata","Arachnida","Acari",,"Acariformes","Sarcoptiformes","Oribatida",,,,,,,,"sp.",,"adult",1,,3,100,3,"N","N",,"condition OK","Y",,"Thorp and Rogers 2016","N","Rhithron Associates, Inc.","J. Webb",,,
"ef5fd350-92b2-4e0c-b055-03388f7b945e","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.CORE.2","A00000253011",,"BILALG","Y","Bilyjomyia algens",,"species","Arthropoda","Hexapoda","Insecta",,,,"Diptera","Nematocera",,,"Chironomidae","Tanypodinae","Pentaneurini",,"Bilyjomyia","algens",,"larva",9,,1,100,1,"N","N",,"condition OK","Y",,"Epler 2001; Maschwitz and Cook 2000","N","Rhithron Associates, Inc.","A. Fasbender",,,
"63c1f8c1-051c-44ed-9886-9b8facee223d","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-12","WLOU.20220630.SURBER.1","A00000253005",,"TVESP","Y","Tvetenia sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Diptera","Nematocera","Culicomorpha",,"Chironomidae","Orthocladiinae",,,"Tvetenia","sp.",,"larva",3,,1,40,3,"N","N",,"condition OK","Y",,"Weiderholm, 1983; Weiderholm, 1986; Epler 2001; Ferrington et al. 2019; Andersen, Cranston and Epler 2013","Y","Rhithron Associates, Inc.","R. Spring",,,
"56a0b598-b911-4095-9137-7b25fcedf125","D13","WLOU","WLOU.AOS.reach","2022-06-30T15:45Z","2023-10-17","WLOU.20220630.SURBER.1","A00000253005",,"RHYSP3","Y","Rhyacophila sp.",,"genus","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Holometabola","Trichoptera",,,"Rhyacophiloidea","Rhyacophilidae",,,,"Rhyacophila","sp.",,"larva",2,,1,40,3,"Y","N","early instar","condition OK","N",,"Prather and Morris 2001; Morse et al. 2017; Giersch et al. 2012","Y","Rhithron Associates, Inc.","J. Webb",,,
